name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
mexico city,2023-01-01,22.1,3.1,13.2,22.1,3.1,13,5,62.2,0,0,0,,0,0,21.6,18.4,164,1021.6,38.1,11.1,180.9,15.5,8,10,2023-01-01T07:10:42,2023-01-01T18:09:39,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,MMMX,76675099999"
mexico city,2023-01-02,26.1,2,14.3,26.1,1.7,14.3,5.2,57.6,0,0,0,,0,0,43.2,33.5,167.9,1020.6,61.1,16,218.5,18.8,8,10,2023-01-02T07:11:02,2023-01-02T18:10:16,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMMX,MMTO,76675099999"
mexico city,2023-01-03,28.1,4.1,15.6,27.1,4.1,15.5,5.6,54.8,0,0,0,,0,0,36,18.4,206.3,1019.8,55.5,15,215.9,18.7,8,10,2023-01-03T07:11:20,2023-01-03T18:10:53,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMMX,MMTO,76675099999"
mexico city,2023-01-04,24,-0.9,13.5,24,-3.7,13.2,4,58,0,0,0,,0,0,19.1,17,109.1,1022.8,10.1,11.9,230.5,20,8,10,2023-01-04T07:11:37,2023-01-04T18:11:31,0.42,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,MMCB,76680099999,76675099999,MMMX,MMTO"
mexico city,2023-01-05,22.5,6.9,14.9,22.5,4.7,14.7,4,52.3,0,0,0,,0,0,25.2,22,17.5,1024.6,2.6,12.5,229.8,19.9,8,10,2023-01-05T07:11:53,2023-01-05T18:12:09,0.46,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMMX,76675099999,MMTO"
mexico city,2023-01-06,21.4,1.8,13.7,21.4,1.8,13.5,2.9,54.2,0,0,0,,0,0,11.9,14.8,38.2,1024.6,4.1,11.6,230.5,19.8,8,10,2023-01-06T07:12:08,2023-01-06T18:12:47,0.5,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,76675099999,MMMX"
mexico city,2023-01-07,27.1,1.1,13.7,26.3,0.5,13.4,1,49.2,0,0,0,,0,0,13.7,12.6,31.3,1023.2,4.7,11.5,232.6,20.1,8,10,2023-01-07T07:12:22,2023-01-07T18:13:26,0.53,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMMX,MMTO,76675099999"
mexico city,2023-01-08,27,0.2,14.6,26.1,0.2,14.5,-0.7,38.7,0,0,0,,0,0,28.8,29.5,20.2,1022.7,0.5,14.5,236.2,20.4,9,10,2023-01-08T07:12:35,2023-01-08T18:14:04,0.56,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
mexico city,2023-01-09,25.1,2.8,13.7,25.1,2.8,13.6,4.1,57.4,0,0,0,,0,0,18,21.9,14,1023.5,31.3,9.8,228.8,19.7,8,10,2023-01-09T07:12:46,2023-01-09T18:14:43,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
mexico city,2023-01-10,26.1,3.1,15.3,26.1,3.1,15.3,3.3,48.9,0.3,100,12.5,rain,0,0,21.6,24,286.8,1021.9,44,12.7,188.7,16.2,8,10,2023-01-10T07:12:56,2023-01-10T18:15:22,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMSM,76675099999,MMMX,MMTO"
